most_current_software_update,synchronisation,user_of_latest_model,age_of_customer_transformed,swimming_hours_per_week_transformed,biking_hours_per_week_transformed,running_hours_per_week_transformed,total_training_hours_per_week_transformed,vo2_max_transformed,10k_running_time_prediction_transformed,calories_burned_per_week_transformed,support_cases_of_customer_transformed,customer_years_transformed,hot_enc__Male,hot_enc__Other,hot_enc__Germany,hot_enc__India,hot_enc__UK,hot_enc__USA,hot_enc__UnknownLand,hot_enc__Berlin,hot_enc__Birmingham,hot_enc__Brisbane,hot_enc__Chicago,hot_enc__Delhi,hot_enc__Hamburg,hot_enc__London,hot_enc__Los Angeles,hot_enc__Manchester,hot_enc__Melbourne,hot_enc__Mumbai,hot_enc__Munich,hot_enc__New York,hot_enc__Sydney,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White
2024-08-07,1.0,0.0,1.1107716166367858,1.4708782642481828,-0.7441224753299046,-0.059717099785322754,-0.022789502280392185,-1.270917179241783,1.5167415608622863,-0.12991629705549737,5.19933758270342,0.3853204664075674,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
2024-05-17,1.0,0.0,-1.8339146358159146,-0.5244005127080409,-0.40196282325627913,-0.25246530146929236,-0.6928428012491733,0.03500143879087167,0.30653855267561325,-0.7031991804555588,0.5729675484954635,-0.7835003753897741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
2024-03-15,1.0,1.0,-0.6229257232100878,0.5249960723298196,-0.43294543151469894,-0.3227998232847218,-0.3251992838610181,0.33910417950362687,-1.0489612504595827,-0.3986011051012069,0.5729675484954635,-0.7835003753897741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2024-07-28,1.0,1.0,-1.8339146358159146,1.0672699522071936,-0.8951958691040597,-0.8095316448685379,-0.6901941494632754,0.6951810121422789,-0.2277603121470913,-0.6280238809938968,0.5729675484954635,-0.7835003753897741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2024-08-23,1.0,0.0,0.23899287047892498,0.45390781537774727,0.5294277845601532,-0.23926139804865518,0.40404604254573595,-0.026650823533282318,0.332505178613026,0.42045003605333614,-0.47704042848944356,0.6229257232100877,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2023-11-10,1.0,0.0,1.3829941271006387,-0.3608803214388432,1.4384776446093483,-1.4167667254909677,0.48609908926901385,-1.5660723796205203,1.8966909656801132,0.43618076249063714,5.19933758270342,-5.199337582605575,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2024-08-18,1.0,1.0,0.08365173390712909,-0.6229257232100878,0.8207920883323803,0.013849217700468635,0.41957391426694945,-0.032769391330007946,-0.5798030497970296,0.5101137305904152,5.19933758270342,0.6229257232100877,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2024-10-23,1.0,0.0,-0.12566134685507402,0.2167857906762349,0.536632924218071,-5.199337582605575,-0.1789962283913901,0.37936297020371623,0.15493558356177944,-0.25052059205299565,0.5729675484954635,-0.08365173390712909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-11-30,1.0,0.0,5.19933758270342,-0.8195021075682538,-0.4597337015564347,-0.722326157396827,-1.0730788476842723,-2.3480678212475112,0.0,-0.9945823046137753,0.5729675484954635,-0.38532046640756773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2024-11-04,1.0,0.0,1.3829941271006387,-0.1910520061461741,-0.44295363069173854,0.1638472679260492,-0.37313212225262726,-1.8794250572222513,1.2752902390175747,-0.32355661793272794,-5.199337582605575,0.3853204664075674,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2024-01-25,1.0,1.0,-1.5010859460440247,-0.10268489990271995,0.43994086189551074,-1.3195591520521455,-0.2326208358699049,1.0691297993432147,0.3947490553169253,-0.11955716396437764,-5.199337582605575,-0.7835003753897741,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
2024-08-26,0.0,0.0,0.6229257232100877,-0.2601111105071604,0.8994979110922048,0.21577047124161242,0.6405901654465377,-0.4969914985363325,0.30889037101253813,0.6448468487319189,0.041789297816453665,0.9027347916438648,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2024-01-27,1.0,1.0,-0.6744897501960817,2.0881799060072392,-0.3299438213252124,0.7573202964267488,0.7741363318746215,1.4689078020807944,-0.9131075425444645,0.7993357723059307,0.041789297816453665,-0.08365173390712909,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-02-23,1.0,0.0,0.0,-0.19879354901349772,0.13873790462133098,-0.23048205508756545,-0.11615855618382595,0.15162636005942812,-0.02166954710036352,-0.18215191469991965,5.19933758270342,0.3853204664075674,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2024-09-13,1.0,1.0,-1.2815515655446004,0.8489763933429505,1.5903024102179404,0.8718107966070956,1.5925907927176504,1.4646933973495226,-1.4713972237485344,1.6580018715094678,5.19933758270342,-0.7835003753897741,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-11-21,1.0,0.0,-0.2104283942479247,0.17002743807782164,0.3298033872356782,-0.9593324273568413,-0.13789603935133032,0.41119655844767095,0.09215625946001534,-0.16512388839059824,-0.47704042848944356,1.2815515655446004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
2023-12-30,1.0,0.0,0.9674215661017012,-0.3734396775981019,1.6173606059052965,1.397433816008838,1.5086284537782302,-0.5098042997727584,0.6987982865282484,1.5216618525593173,-0.47704042848944356,-0.08365173390712909,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2024-02-10,0.0,0.0,0.9674215661017012,-0.12218924876740166,-0.18759533009509755,1.7358708273707986,0.6300379964112552,-0.8950545680930435,0.7810745987160578,0.7246206971459294,-5.199337582605575,0.3853204664075674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
2024-01-07,1.0,0.0,-0.6229257232100878,-0.7112600919034949,2.1528757266711045,1.9739841116354422,2.1746262042596705,2.0227849745570676,-2.122875599509595,2.071597151359106,0.041789297816453665,0.9027347916438648,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2024-07-19,1.0,0.0,1.1107716166367858,-0.22988411757923205,0.22465317662504533,-0.5024022233733555,-0.16789400478810546,-1.3151941823126552,1.4454578845247694,-0.07300366282620699,-5.199337582605575,1.2815515655446004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
2023-11-18,1.0,0.0,1.644853626951472,0.13535518466384178,-1.8585462447662562,-0.14088003664111318,-1.3593314879341891,-2.0303560389067012,2.078773183599533,-1.2052435613842598,-5.199337582605575,-0.08365173390712909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
2023-12-30,1.0,1.0,-0.6744897501960817,-0.16789400478810546,1.1195777223043901,0.8959606235307025,1.1276363866102987,0.9701112309637304,-1.344484964320821,1.127241119415725,0.041789297816453665,2.1280452341849863,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-10-12,1.0,0.0,-0.6229257232100878,-1.35465523596435,-0.17785765622175917,-0.5498906667012875,-0.8849564843444298,0.989139123191753,0.07350722162413606,-0.8662452885374978,-0.47704042848944356,0.3853204664075674,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2024-05-07,1.0,0.0,-0.8416212335729142,1.0928630331398286,-0.5212730937227718,0.5767585645077976,0.25223636792901377,0.45557599542335825,-1.5845190154165212,0.24143063740410955,0.041789297816453665,0.6229257232100877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2024-05-28,1.0,1.0,0.5244005127080407,0.6614350829065611,1.053037360239798,0.23720210932878769,1.0055826491285833,-0.38792956667395245,0.20997012876171478,1.1134014165787853,0.5729675484954635,-5.199337582605575,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2024-09-27,1.0,0.0,1.0364333894937898,-5.199337582605575,-1.138570939834409,1.1570381682990742,-0.7115217882720056,-1.2656534772938155,0.9298999140966548,-0.8108369164328018,0.5729675484954635,0.9027347916438648,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2024-08-10,1.0,0.0,-0.43072729929545756,-1.35465523596435,-0.1020660048966989,0.3903020752794082,-0.30925112039116043,0.43072729929545744,-1.17956916747558,-0.30480077036754555,0.5729675484954635,1.2815515655446004,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2024-06-07,1.0,0.0,1.644853626951472,-0.2601111105071604,1.03936929640617,1.0495122870143843,1.1010018723608122,-1.2810650363457272,1.6102461541171773,1.1354787844191307,5.19933758270342,-0.7835003753897741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2024-03-08,0.0,0.0,0.6229257232100877,-5.199337582605575,-1.4222180411478396,0.6288924961253373,-1.218044672635858,-0.8998263493212277,0.6987982865282484,-1.0623181005733118,-0.47704042848944356,-0.7835003753897741,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2023-10-27,1.0,0.0,-1.5010859460440247,-0.5131546622659513,-0.9668597437209956,-0.017905444392243654,-1.0389014441072837,0.5515931313147049,-0.19310464845620937,-0.941017051350317,-0.47704042848944356,-0.38532046640756773,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
2024-02-06,1.0,1.0,-1.2815515655446004,-0.5589578655042562,-1.5881563868701443,-1.8030290800389108,-2.134805085183655,-0.3785607021563324,0.5013328081096594,-2.062279840972203,5.19933758270342,-5.199337582605575,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
2024-03-06,1.0,0.0,0.08365173390712909,-0.05813338231249668,-0.790909128923965,0.4911316558166982,-0.3872395028064985,0.0038882646185396208,-0.2796078375694526,-0.5354825960884043,-5.199337582605575,0.6229257232100877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
2024-10-06,1.0,1.0,-0.7279132908816442,-0.32156709013711304,0.08365173390712909,-1.082837838446003,-0.5632109134023302,0.19479972418720368,-0.17176942654735192,-0.6184875717949551,0.5729675484954635,-0.38532046640756773,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
2024-03-03,1.0,1.0,-1.0364333894937894,0.6614350829065611,0.673301608531453,0.3718611940349692,0.7934320696766406,1.2254310764395202,-1.506300181494988,0.7429613080383799,0.5729675484954635,-0.7835003753897741,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2024-10-04,1.0,1.0,-0.8416212335729142,1.511190613505462,1.0749223520006852,1.4317673700507396,1.75331802879103,1.7821937796338645,-1.889179133147274,1.8764960896847438,-5.199337582605575,0.6229257232100877,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-24,0.0,0.0,1.2815515655446004,-0.8730997766188401,0.3384747492217762,0.7277001968676878,0.2638546885743326,-1.2828695398965966,0.9341621353634416,0.33468171496732124,0.041789297816453665,-5.199337582605575,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2024-05-30,1.0,0.0,0.5729675484954632,-0.8811052248366495,0.18133274060182167,0.18380470283773812,-0.11073315092828753,-0.4168389921794766,0.6747109407958644,-0.05832156249413271,0.041789297816453665,0.3853204664075674,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2023-11-16,1.0,1.0,-1.5010859460440247,-0.23769042305872715,2.4308908018768447,0.04848970771138036,1.5086284537782302,0.8496683508498168,-0.7182242181248272,1.560564546024795,-0.47704042848944356,-5.199337582605575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2024-09-26,1.0,0.0,-0.9674215661017012,1.1059320404854391,0.9661468942717757,-5.199337582605575,0.49201233623527885,1.1809699051682943,-0.37858296518258244,0.5108509538366957,5.19933758270342,-0.38532046640756773,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2024-02-07,1.0,0.0,0.3853204664075674,-0.6156959086521893,0.1594952019171142,0.10744322129315682,-0.08635678930250397,-0.5393066651219659,0.34355257491007457,-0.20892923352509082,-0.47704042848944356,0.3853204664075674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2024-02-23,1.0,0.0,-0.7279132908816442,-0.08970412640283346,0.43994086189551074,0.1396207307430371,0.3030367411175326,0.9412543044257109,-1.1401829139957762,0.28005748092951144,0.041789297816453665,0.9027347916438648,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2024-11-17,1.0,1.0,1.644853626951472,1.3526506993553369,1.4449882534430853,0.8575621378885581,1.6722895535318667,-1.569271423520215,1.5771003100458474,1.6220115013088672,-5.199337582605575,-0.38532046640756773,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2024-11-19,1.0,1.0,-1.0364333894937894,-0.10918164398205733,0.2669195814880598,-0.4154974550890347,-0.05066061676587671,0.2835976346447265,-0.9407940272591793,-0.010623345086441558,-0.47704042848944356,-5.199337582605575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2024-08-26,0.0,0.0,1.8339146358159146,-5.199337582605575,-0.035816631660069466,-0.06569701669164064,-0.5632109134023302,-1.9237973482981752,2.2547156910689403,-0.6790672391818495,0.5729675484954635,-0.7835003753897741,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2024-08-26,0.0,0.0,1.644853626951472,-5.199337582605575,-0.035816631660069466,-0.06569701669164064,-0.5632109134023302,-1.9237973482981752,2.2547156910689403,-0.6790672391818495,0.5729675484954635,-0.7835003753897741,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2024-08-07,1.0,1.0,-1.8339146358159146,-0.23769042305872715,1.2638049240567701,0.8718107966070956,1.1914571644673273,1.7642112874807947,-0.9199630024932909,1.235641253245393,0.5729675484954635,-5.199337582605575,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2024-09-13,1.0,0.0,-1.1107716166367858,0.459740764112726,-1.6493570426681352,-0.04776345509712035,-1.0361078918071662,0.226108635373749,-0.2128768081963692,-0.9742660929093171,-5.199337582605575,-0.08365173390712909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
2024-11-25,1.0,0.0,1.1107716166367858,-0.6544522007320038,-0.15754272716948187,-0.16485117701239313,-0.4400923115261907,-0.9897124531199715,1.1463923824338207,-0.4966366499486586,0.041789297816453665,1.8339146358159146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-01-20,0.0,0.0,0.43072729929545744,0.6041322893730707,-0.6216660335781691,-1.0424544832293579,-0.7724966009800405,-0.5248795243673771,0.9186156894434081,-0.8663536409432612,0.5729675484954635,-5.199337582605575,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2024-05-15,1.0,0.0,-0.2104283942479247,-0.294117122592403,-0.5555375068462023,-1.2995807035609563,-1.2058593670884452,0.015985728413047604,-0.16687182906114875,0.0,0.5729675484954635,0.6229257232100877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2023-12-08,1.0,1.0,0.5729675484954632,-0.8811052248366495,-5.199337582605575,-0.5705424202991436,-1.9689130617051793,-0.609467179311331,0.8386688333364044,-1.9846975358407835,5.19933758270342,-5.199337582605575,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2024-07-15,1.0,0.0,-0.43072729929545756,-0.4051026894454523,-1.5840068650417196,-0.9186840219554848,-1.8654788461140055,0.0,0.34724414545471904,-1.7945440541469775,-0.47704042848944356,1.2815515655446004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2024-02-03,1.0,1.0,0.041789297816453665,-0.14174019633960902,0.9773899320859205,-0.06569701669164064,0.6335475391226321,0.15527836387059862,0.14233872652265994,0.5617906337807853,0.041789297816453665,-5.199337582605575,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2024-09-06,1.0,0.0,-0.6744897501960817,-5.199337582605575,0.1318325085830789,0.4275934048667618,-0.17011275081828692,0.9113355602882532,-0.8695501847315946,-0.09155555355459599,-0.47704042848944356,0.9027347916438648,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2023-12-26,1.0,0.0,-1.0364333894937894,1.4260025852448583,0.3411261939719878,-0.2638546885743323,0.5471128385135037,0.7306814799984465,-0.039925067268911714,0.610529765945152,0.041789297816453665,-5.199337582605575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2024-02-24,1.0,0.0,0.9674215661017012,-0.790618467861369,-0.8488654028876473,-1.1107716166367858,-1.6155755660303575,-1.6898148164456774,1.454102048095482,-1.713498972916847,0.5729675484954635,-0.38532046640756773,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2024-12-07,1.0,1.0,-0.38532046640756773,0.4480902694393068,0.40850331326807615,-0.7169406404017564,0.0,1.2163458273855834,-0.7723942601881036,-2.765922155319748,5.19933758270342,1.2815515655446004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
2023-12-22,1.0,0.0,1.644853626951472,0.3624115623739171,0.0,1.888640916890727,0.0,-0.8611775340003538,0.8407769429242478,0.0,-0.47704042848944356,0.3853204664075674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-16,1.0,1.0,-0.7279132908816442,5.19933758270342,-0.6434085171067131,1.8316452861637456,1.1653585129474808,1.996839250604795,-1.9423902832183133,1.2173557027132864,0.5729675484954635,1.2815515655446004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2023-11-10,1.0,1.0,-1.1107716166367858,-0.10268489990271995,0.8096200729499389,0.0692993021402116,0.5471128385135037,1.002952730353741,-0.8646303861015212,0.5042722155462611,0.041789297816453665,-0.7835003753897741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2024-01-03,1.0,0.0,-0.08365173390712909,-1.1989641855774917,1.553161787392324,-0.4734426104521767,0.6300379964112552,0.493995480956974,0.001203952392021485,0.5668613453282931,-0.47704042848944356,0.6229257232100877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2024-11-19,0.0,0.0,0.16789400478810546,1.0863980046703232,-0.44295363069173854,-0.7990193174424656,-0.3160761822475944,0.15619168660028246,0.344475026753562,-0.4152951639344873,-0.47704042848944356,-0.08365173390712909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
2024-03-16,1.0,0.0,1.8339146358159146,0.24033746917421694,1.6959749727738147,-0.5097074822602529,1.0363414752508326,-1.4408796949218963,1.5592707854131906,1.0202644472642677,0.5729675484954635,0.3853204664075674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
2024-08-10,0.0,1.0,-1.1107716166367858,-0.6156959086521893,0.9139572213801439,-0.5447645063784217,0.2892731306865217,1.5397585742878117,0.042150801700446314,0.3751020644670669,-0.47704042848944356,-0.08365173390712909,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2024-10-28,1.0,0.0,0.8416212335729143,1.9800211745687912,-1.6223820570301999,0.23183436245300987,-0.17677406176768365,-0.9666672435972352,0.7723928735570618,-0.1224037895964044,5.19933758270342,1.2815515655446004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-07-28,0.0,0.0,-0.12566134685507402,0.1238391000255962,-5.199337582605575,-1.1907675378356715,-1.9013325173895907,-0.3408293707938494,0.5199520663951686,-1.9682380770302876,0.5729675484954635,1.2815515655446004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
