synchronisation,user_of_latest_model,age_of_customer_transformed,swimming_hours_per_week_transformed,biking_hours_per_week_transformed,running_hours_per_week_transformed,vo2_max_transformed,10k_running_time_prediction_transformed,support_cases_of_customer_transformed,customer_years_transformed,hot_enc__Male,hot_enc__Other,hot_enc__UnknownLand,hot_enc__Delhi,hot_enc__Mumbai,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White,most_current_software_update_month,most_current_software_update_day
0.0,0.0,0.9674215661017012,-0.12218924876740166,-0.18759533009509755,1.7358708273707986,-0.8950545680930435,0.7810745987160578,-5.199337582605575,0.3853204664075674,0,0,0,0,0,1,0,1,0,0,1,0,2,10
1.0,0.0,-0.6229257232100878,-0.7112600919034949,2.1528757266711045,1.9739841116354422,2.0227849745570676,-2.122875599509595,0.041789297816453665,0.9027347916438648,0,0,0,0,0,0,0,1,0,0,1,0,1,7
1.0,0.0,1.1107716166367858,-0.22988411757923205,0.22465317662504533,-0.5024022233733555,-1.3151941823126552,1.4454578845247694,-5.199337582605575,1.2815515655446004,0,1,0,0,0,0,1,1,0,0,0,1,7,19
1.0,0.0,1.644853626951472,0.13535518466384178,-1.8585462447662562,-0.14088003664111318,-2.0303560389067012,2.078773183599533,-5.199337582605575,-0.08365173390712909,0,0,0,0,0,0,1,0,1,0,1,0,11,18
1.0,1.0,-0.6744897501960817,-0.16789400478810546,1.1195777223043901,0.8959606235307025,0.9701112309637304,-1.344484964320821,0.041789297816453665,2.1280452341849863,0,1,0,0,0,0,0,0,1,1,0,0,12,30
1.0,0.0,-0.6229257232100878,-1.35465523596435,-0.17785765622175917,-0.5498906667012875,0.989139123191753,0.07350722162413606,-0.47704042848944356,0.3853204664075674,0,1,0,0,0,0,1,0,0,1,0,0,10,12
1.0,0.0,-0.8416212335729142,1.0928630331398286,-0.5212730937227718,0.5767585645077976,0.45557599542335825,-1.5845190154165212,0.041789297816453665,0.6229257232100877,1,0,0,0,0,1,0,0,0,1,0,0,5,7
1.0,1.0,0.5244005127080407,0.6614350829065611,1.053037360239798,0.23720210932878769,-0.38792956667395245,0.20997012876171478,0.5729675484954635,-5.199337582605575,0,1,0,0,0,0,0,1,0,0,1,0,5,28
1.0,0.0,1.0364333894937898,-5.199337582605575,-1.138570939834409,1.1570381682990742,-1.2656534772938155,0.9298999140966548,0.5729675484954635,0.9027347916438648,1,0,0,1,0,0,0,1,0,1,0,1,9,27
1.0,0.0,-0.43072729929545756,-1.35465523596435,-0.1020660048966989,0.3903020752794082,0.43072729929545744,-1.17956916747558,0.5729675484954635,1.2815515655446004,0,1,0,0,0,0,1,1,0,0,1,0,8,10
1.0,0.0,1.644853626951472,-0.2601111105071604,1.03936929640617,1.0495122870143843,-1.2810650363457272,1.6102461541171773,5.19933758270342,-0.7835003753897741,0,1,0,0,0,0,0,0,0,1,0,0,6,7
0.0,0.0,0.6229257232100877,-5.199337582605575,-1.4222180411478396,0.6288924961253373,-0.8998263493212277,0.6987982865282484,-0.47704042848944356,-0.7835003753897741,1,0,0,0,0,0,1,0,1,0,0,0,3,8
1.0,0.0,-1.5010859460440247,-0.5131546622659513,-0.9668597437209956,-0.017905444392243654,0.5515931313147049,-0.19310464845620937,-0.47704042848944356,-0.38532046640756773,1,0,0,0,1,1,0,0,1,0,1,0,10,27
1.0,1.0,-1.2815515655446004,-0.5589578655042562,-1.5881563868701443,-1.8030290800389108,-0.3785607021563324,0.5013328081096594,5.19933758270342,-5.199337582605575,0,1,0,0,0,0,1,1,0,0,1,0,2,6
1.0,0.0,0.08365173390712909,-0.05813338231249668,-0.790909128923965,0.4911316558166982,0.0038882646185396208,-0.2796078375694526,-5.199337582605575,0.6229257232100877,0,0,0,0,0,0,1,1,0,1,0,0,3,6
1.0,1.0,-0.7279132908816442,-0.32156709013711304,0.08365173390712909,-1.082837838446003,0.19479972418720368,-0.17176942654735192,0.5729675484954635,-0.38532046640756773,1,0,0,0,0,0,1,1,0,0,1,0,10,6
1.0,1.0,-1.0364333894937894,0.6614350829065611,0.673301608531453,0.3718611940349692,1.2254310764395202,-1.506300181494988,0.5729675484954635,-0.7835003753897741,0,0,0,0,0,0,0,1,0,0,1,0,3,3
1.0,1.0,-0.8416212335729142,1.511190613505462,1.0749223520006852,1.4317673700507396,1.7821937796338645,-1.889179133147274,-5.199337582605575,0.6229257232100877,0,0,0,0,0,1,0,0,0,0,0,0,10,4
0.0,0.0,1.2815515655446004,-0.8730997766188401,0.3384747492217762,0.7277001968676878,-1.2828695398965966,0.9341621353634416,0.041789297816453665,-5.199337582605575,0,0,0,0,0,1,0,0,1,0,0,0,12,24
1.0,0.0,0.5729675484954632,-0.8811052248366495,0.18133274060182167,0.18380470283773812,-0.4168389921794766,0.6747109407958644,0.041789297816453665,0.3853204664075674,1,0,0,0,0,0,0,1,0,1,0,0,5,30
1.0,1.0,-1.5010859460440247,-0.23769042305872715,2.4308908018768447,0.04848970771138036,0.8496683508498168,-0.7182242181248272,-0.47704042848944356,-5.199337582605575,0,0,0,0,0,0,0,0,0,1,0,0,11,16
1.0,0.0,-0.9674215661017012,1.1059320404854391,0.9661468942717757,-5.199337582605575,1.1809699051682943,-0.37858296518258244,5.19933758270342,-0.38532046640756773,1,0,0,0,0,1,0,1,0,1,0,0,9,26
1.0,0.0,0.3853204664075674,-0.6156959086521893,0.1594952019171142,0.10744322129315682,-0.5393066651219659,0.34355257491007457,-0.47704042848944356,0.3853204664075674,0,0,0,1,0,1,0,1,0,1,0,0,2,7
1.0,0.0,-0.7279132908816442,-0.08970412640283346,0.43994086189551074,0.1396207307430371,0.9412543044257109,-1.1401829139957762,0.041789297816453665,0.9027347916438648,0,1,0,0,0,1,0,0,1,1,0,0,2,23
1.0,1.0,1.644853626951472,1.3526506993553369,1.4449882534430853,0.8575621378885581,-1.569271423520215,1.5771003100458474,-5.199337582605575,-0.38532046640756773,0,1,0,0,0,1,0,1,0,0,1,0,11,17
1.0,1.0,-1.0364333894937894,-0.10918164398205733,0.2669195814880598,-0.4154974550890347,0.2835976346447265,-0.9407940272591793,-0.47704042848944356,-5.199337582605575,1,0,0,0,0,1,0,0,1,0,0,0,11,19
0.0,0.0,1.8339146358159146,-5.199337582605575,-0.035816631660069466,-0.06569701669164064,-1.9237973482981752,2.2547156910689403,0.5729675484954635,-0.7835003753897741,0,1,0,0,0,0,1,0,1,1,0,0,8,26
0.0,0.0,1.644853626951472,-5.199337582605575,-0.035816631660069466,-0.06569701669164064,-1.9237973482981752,2.2547156910689403,0.5729675484954635,-0.7835003753897741,0,1,0,0,0,0,1,0,1,1,0,0,8,26
1.0,1.0,-1.8339146358159146,-0.23769042305872715,1.2638049240567701,0.8718107966070956,1.7642112874807947,-0.9199630024932909,0.5729675484954635,-5.199337582605575,0,1,0,0,0,0,0,0,1,0,0,0,8,7
1.0,0.0,-1.1107716166367858,0.459740764112726,-1.6493570426681352,-0.04776345509712035,0.226108635373749,-0.2128768081963692,-5.199337582605575,-0.08365173390712909,0,0,0,0,0,0,1,0,0,1,0,1,9,13
1.0,0.0,1.1107716166367858,-0.6544522007320038,-0.15754272716948187,-0.16485117701239313,-0.9897124531199715,1.1463923824338207,0.041789297816453665,1.8339146358159146,1,0,0,0,0,1,0,0,0,0,0,0,11,25
0.0,0.0,0.43072729929545744,0.6041322893730707,-0.6216660335781691,-1.0424544832293579,-0.5248795243673771,0.9186156894434081,0.5729675484954635,-5.199337582605575,0,0,0,0,0,1,0,0,1,0,0,0,1,20
1.0,0.0,-0.2104283942479247,-0.294117122592403,-0.5555375068462023,-1.2995807035609563,0.015985728413047604,-0.16687182906114875,0.5729675484954635,0.6229257232100877,0,0,0,0,0,1,0,1,0,1,0,0,5,15
1.0,1.0,0.5729675484954632,-0.8811052248366495,-5.199337582605575,-0.5705424202991436,-0.609467179311331,0.8386688333364044,5.19933758270342,-5.199337582605575,0,0,0,0,0,0,1,0,1,0,1,0,12,8
1.0,0.0,-0.43072729929545756,-0.4051026894454523,-1.5840068650417196,-0.9186840219554848,0.0,0.34724414545471904,-0.47704042848944356,1.2815515655446004,0,0,0,0,1,0,1,1,0,0,0,0,7,15
1.0,1.0,0.041789297816453665,-0.14174019633960902,0.9773899320859205,-0.06569701669164064,0.15527836387059862,0.14233872652265994,0.041789297816453665,-5.199337582605575,0,0,0,0,0,1,0,0,1,0,1,0,2,3
1.0,0.0,-0.6744897501960817,-5.199337582605575,0.1318325085830789,0.4275934048667618,0.9113355602882532,-0.8695501847315946,-0.47704042848944356,0.9027347916438648,0,0,0,0,0,0,1,1,0,0,1,1,9,6
1.0,0.0,-1.0364333894937894,1.4260025852448583,0.3411261939719878,-0.2638546885743323,0.7306814799984465,-0.039925067268911714,0.041789297816453665,-5.199337582605575,0,0,0,0,0,0,1,0,0,1,0,0,12,26
1.0,0.0,0.9674215661017012,-0.790618467861369,-0.8488654028876473,-1.1107716166367858,-1.6898148164456774,1.454102048095482,0.5729675484954635,-0.38532046640756773,1,0,0,0,0,1,0,1,0,1,0,0,2,24
1.0,1.0,-0.38532046640756773,0.4480902694393068,0.40850331326807615,-0.7169406404017564,1.2163458273855834,-0.7723942601881036,5.19933758270342,1.2815515655446004,0,1,0,0,1,0,1,0,1,1,0,0,12,7
1.0,0.0,1.644853626951472,0.3624115623739171,0.0,1.888640916890727,-0.8611775340003538,0.8407769429242478,-0.47704042848944356,0.3853204664075674,0,0,0,0,0,0,0,0,0,0,0,0,12,22
1.0,1.0,-0.7279132908816442,5.19933758270342,-0.6434085171067131,1.8316452861637456,1.996839250604795,-1.9423902832183133,0.5729675484954635,1.2815515655446004,0,0,0,0,0,0,0,1,0,1,0,0,11,16
1.0,1.0,-1.1107716166367858,-0.10268489990271995,0.8096200729499389,0.0692993021402116,1.002952730353741,-0.8646303861015212,0.041789297816453665,-0.7835003753897741,0,0,0,0,0,0,0,1,0,1,0,1,11,10
1.0,0.0,-0.08365173390712909,-1.1989641855774917,1.553161787392324,-0.4734426104521767,0.493995480956974,0.001203952392021485,-0.47704042848944356,0.6229257232100877,0,0,0,0,0,0,0,1,0,0,0,0,1,3
0.0,0.0,0.16789400478810546,1.0863980046703232,-0.44295363069173854,-0.7990193174424656,0.15619168660028246,0.344475026753562,-0.47704042848944356,-0.08365173390712909,0,0,0,0,0,1,0,1,0,0,0,1,11,19
1.0,0.0,1.8339146358159146,0.24033746917421694,1.6959749727738147,-0.5097074822602529,-1.4408796949218963,1.5592707854131906,0.5729675484954635,0.3853204664075674,0,0,0,0,0,1,0,1,0,1,0,1,3,16
0.0,1.0,-1.1107716166367858,-0.6156959086521893,0.9139572213801439,-0.5447645063784217,1.5397585742878117,0.042150801700446314,-0.47704042848944356,-0.08365173390712909,0,1,0,0,0,1,0,0,0,1,0,0,8,10
1.0,0.0,0.8416212335729143,1.9800211745687912,-1.6223820570301999,0.23183436245300987,-0.9666672435972352,0.7723928735570618,5.19933758270342,1.2815515655446004,0,1,0,0,0,0,0,0,0,1,0,0,10,28
0.0,0.0,-0.12566134685507402,0.1238391000255962,-5.199337582605575,-1.1907675378356715,-0.3408293707938494,0.5199520663951686,0.5729675484954635,1.2815515655446004,0,1,0,0,0,0,1,0,0,0,1,0,7,28
1.0,0.0,-0.2104283942479247,0.5429509696730099,-0.6371099556886728,-0.5967051923275938,0.5421305628087951,0.22925654268368129,0.041789297816453665,0.6229257232100877,1,0,0,0,0,0,1,0,1,0,1,0,3,6
1.0,1.0,0.041789297816453665,-1.1107716166367858,0.13643538705800048,1.427868878991932,-0.237654309440436,-0.5687319271969261,0.5729675484954635,1.8339146358159146,0,0,0,0,0,0,0,0,0,1,0,0,5,22
1.0,1.0,-0.5244005127080409,0.9252445598541502,0.673301608531453,1.1253888667317087,1.8265519802772132,-1.8315195908876065,5.19933758270342,-0.7835003753897741,1,0,0,0,0,0,0,1,0,0,1,1,12,13
1.0,0.0,0.2918904697739106,2.0881799060072392,-0.1284338524168826,0.9408031689569528,0.36134552778499923,-0.3250379437035849,-5.199337582605575,0.6229257232100877,1,0,0,0,0,0,0,1,0,0,0,0,6,6
1.0,1.0,-0.9674215661017012,-5.199337582605575,1.8205355064188722,-0.5914404384596158,1.2987297307002588,-0.887772621747828,-5.199337582605575,-0.7835003753897741,0,0,0,0,0,0,0,0,0,0,1,0,9,27
1.0,0.0,0.7835003753897741,-0.7764217611479277,-0.9957713010445479,0.2591484330186827,-0.9638434193833795,0.7330513782975779,-0.47704042848944356,0.16789400478810546,0,1,0,0,0,0,1,1,0,0,1,0,3,14
1.0,0.0,0.5244005127080407,1.3354101019504627,-1.6136474353878172,1.2837867982331348,-0.1700485720081097,0.2552005158560774,-0.47704042848944356,1.2815515655446004,1,0,0,0,0,0,0,0,0,1,0,0,10,3
1.0,1.0,-0.12566134685507402,-0.8730997766188401,-0.4296939790319861,0.06235988097321465,0.5232932202940066,-0.8662679888872444,-5.199337582605575,-0.38532046640756773,0,0,0,0,0,1,0,1,0,0,1,0,5,4
1.0,0.0,5.19933758270342,1.5248063767703228,0.3671279972699203,-0.19553460918372872,-2.219331442335502,0.0,5.19933758270342,0.16789400478810546,1,0,0,0,0,0,0,0,1,0,1,0,2,27
1.0,1.0,-1.2815515655446004,-5.199337582605575,-0.04776345509711993,0.8959606235307025,0.21042839424792428,-0.3825056136156301,-0.47704042848944356,0.16789400478810546,1,0,0,0,0,0,0,0,1,0,1,0,6,23
1.0,0.0,0.9674215661017012,-0.9473150563570555,0.18441483976492382,0.28829060243198407,-1.1840699417179317,0.8786541239295176,0.5729675484954635,0.3853204664075674,1,0,0,0,0,0,0,0,0,0,1,1,7,13
1.0,0.0,-0.3406948270877956,-0.43612629776462264,-1.8311744445727685,-0.8148214745901337,0.24747902570193195,-0.0422078182833356,0.5729675484954635,-0.08365173390712909,1,0,0,0,0,0,1,0,0,0,0,1,6,19
1.0,0.0,0.8416212335729143,-0.20654702441883474,0.1410411579517712,0.9990394707978056,-1.0263078588894146,0.6518801469779847,5.19933758270342,-5.199337582605575,0,1,0,0,0,0,1,0,0,1,0,1,5,22
1.0,1.0,0.7835003753897741,-0.5131546622659513,0.9018946931273164,-1.6129240645144571,-0.6663115768073549,1.3014321490125558,-0.47704042848944356,-0.7835003753897741,1,0,0,0,0,1,0,1,0,1,0,0,11,21
0.0,0.0,0.3406948270877954,-0.04982116466388359,-0.43961268167411044,-0.6590012443550222,-0.09742200430030447,0.5915209405535954,0.5729675484954635,-0.38532046640756773,1,0,0,0,0,0,0,0,0,0,0,1,8,12
1.0,1.0,-0.8416212335729142,1.2027497624686598,0.434408294026353,0.8184360529136835,1.1609992564268754,-1.3350064685844503,-0.47704042848944356,-0.38532046640756773,0,1,0,0,0,1,0,1,0,0,0,0,5,19
1.0,1.0,-0.5244005127080409,0.7446843123008045,0.06619544621058254,-0.33471797886632465,0.8089152038906088,-0.6782407680102677,0.5729675484954635,0.6229257232100877,1,0,0,1,0,0,1,0,0,0,1,0,10,21
1.0,0.0,1.2815515655446004,-0.8268301591857881,-0.7310530133010628,0.5354948869152448,-1.238000838507801,1.5567638261207764,-5.199337582605575,-0.08365173390712909,1,0,0,0,0,0,1,0,1,0,0,0,3,24
1.0,1.0,1.5010859460440247,0.7076435087528792,1.8687846853048327,0.17319265100642342,-0.9360164738353536,1.1495993782403602,0.5729675484954635,-0.7835003753897741,0,1,0,0,0,1,0,1,0,1,0,0,8,15
1.0,1.0,-0.3406948270877956,1.8536230787385146,0.673301608531453,-0.3109273449187296,0.344560167105945,-1.1655780562618563,5.19933758270342,0.9027347916438648,0,1,0,0,0,0,0,0,0,1,0,0,2,16
1.0,0.0,-0.08365173390712909,-0.5729675484954635,-0.6135914129493434,-0.6850518199583719,-0.11252874393223587,0.3667040969036657,0.041789297816453665,-0.08365173390712909,0,1,0,0,0,0,1,1,0,1,0,0,10,24
0.0,0.0,0.5244005127080407,-1.2787496723355545,-0.09680152539047543,-0.7277327065875301,-0.7188594745700196,0.9046727783924198,0.5729675484954635,-0.38532046640756773,1,0,0,0,1,0,0,0,1,0,1,1,11,26
1.0,1.0,-0.43072729929545756,-0.9054682151499918,1.361784317142154,0.0,1.3259315079660963,-2.284500019984601,-0.47704042848944356,1.2815515655446004,0,1,0,0,0,0,0,0,1,0,1,0,2,5
1.0,1.0,0.8416212335729143,-0.1833218965723392,0.7116587622597539,-1.233782530917419,-1.013635597572928,1.099105711549539,-0.47704042848944356,1.8339146358159146,0,1,0,0,0,1,0,1,0,0,0,0,9,20
1.0,0.0,0.6229257232100877,1.3061596897586063,-1.331236785124966,-0.48064443211649593,-0.7178304679164866,0.8571965475451828,0.5729675484954635,-0.08365173390712909,1,0,0,0,0,1,0,0,0,0,0,0,12,12
1.0,0.0,0.5729675484954632,0.1816782443963539,-0.28468164829662773,0.5354948869152448,-0.6495307949521569,0.5094569765910475,0.041789297816453665,-0.08365173390712909,0,1,0,0,0,1,0,1,0,1,0,0,12,24
1.0,1.0,0.23899287047892498,0.9943798244399458,0.05224518037594049,-0.1504580101334553,-0.45237458108416956,-0.33236695410454364,0.5729675484954635,1.2815515655446004,1,0,0,0,0,1,0,0,1,0,1,1,7,31
1.0,1.0,-1.8339146358159146,-0.5075560690656843,-0.4766442363504642,-0.33471797886632465,1.2740728067069615,0.10467521162616787,0.041789297816453665,-0.7835003753897741,0,0,0,0,0,0,1,1,0,0,0,0,8,6
0.0,0.0,0.3406948270877954,-0.3146826603024133,-0.1900324943838446,-0.4104423551275309,-0.35354305814691006,0.071093015179594,0.041789297816453665,-0.7835003753897741,0,1,0,0,0,0,1,1,0,0,1,0,10,21
1.0,0.0,-0.6229257232100878,-0.5589578655042562,0.0,-0.6384789261130505,0.9412543044257109,-0.7474998310356423,5.19933758270342,0.16789400478810546,0,0,0,1,0,1,0,0,1,0,1,0,11,5
1.0,0.0,1.1107716166367858,-0.3146826603024133,0.3727316484460314,-0.48787126994241486,-1.4769797245392282,1.6184700644682652,-0.47704042848944356,-0.08365173390712909,1,0,0,0,0,0,1,1,0,1,0,1,9,19
1.0,1.0,-0.43072729929545756,0.3691623502808033,0.0,0.780740198273724,1.7368547697822676,-1.6047327488795828,-0.47704042848944356,1.2815515655446004,0,1,0,0,0,1,0,1,0,1,0,0,12,4
1.0,1.0,0.23899287047892498,0.0,1.4130257953787544,-0.23048205508756545,0.10976091112802347,-0.5559030200773202,-0.47704042848944356,0.16789400478810546,0,0,0,0,0,0,0,0,0,0,1,0,8,1
1.0,1.0,0.9674215661017012,-0.3987385354804203,1.0032135245899247,1.0239497986169293,-1.0088047775510893,0.5983596246889079,-5.199337582605575,1.2815515655446004,1,0,0,0,0,0,0,0,1,0,1,0,10,31
1.0,1.0,1.644853626951472,-0.47428860297245296,0.4510467328612697,0.7277001968676878,-1.4633238509388211,1.59014946133394,0.041789297816453665,-0.08365173390712909,0,1,0,0,0,1,0,0,1,0,1,0,11,4
1.0,1.0,-0.2104283942479247,1.2601652491170792,0.8711287183738993,0.12351598905896087,1.9075077291316587,-0.4842853639274308,-0.47704042848944356,1.2815515655446004,0,1,0,0,0,0,0,0,1,1,0,1,11,1
1.0,0.0,0.16789400478810546,0.8648943586852824,0.7319577214239462,-0.3853204664075676,0.6672170061458002,0.35371583303311155,5.19933758270342,1.2815515655446004,1,0,0,0,0,0,0,0,1,1,0,0,6,7
1.0,0.0,0.3406948270877954,0.6292786187210769,0.37460212739982773,0.0,0.1936852542976658,-1.7448941866960583,-0.47704042848944356,-0.38532046640756773,0,1,0,0,0,0,0,0,1,0,0,0,7,2
1.0,0.0,1.644853626951472,0.2521626688370623,0.3933804509207978,1.9019280722946594,-1.4979951741686017,1.3438798139250692,-5.199337582605575,0.16789400478810546,0,0,0,0,0,0,0,0,1,0,1,0,9,8
1.0,0.0,0.16789400478810546,-1.4387866834733707,-0.10733331467663097,-0.6693668848067282,0.08799882530669093,0.07350722162413606,0.5729675484954635,-5.199337582605575,0,1,0,0,0,0,1,0,0,0,0,0,5,24
0.0,0.0,0.08365173390712909,-1.190561064849174,0.565739215984736,-1.248639434436678,0.5634913248859731,0.5502157113775479,0.5729675484954635,-5.199337582605575,0,1,0,0,0,1,0,1,0,1,0,1,3,1
1.0,0.0,-1.0364333894937894,-0.7030071685996259,-1.138570939834409,-0.3853204664075676,0.6817983463189903,-0.3250379437035849,-5.199337582605575,0.6229257232100877,1,0,0,0,1,0,1,0,1,1,0,0,1,11
