age_of_customer,swimming_hours_per_week,biking_hours_per_week,running_hours_per_week,total_training_hours_per_week,vo2_max,10k_running_time_prediction,calories_burned_per_week,support_cases_of_customer,customer_years,most_current_software_update,synchronisation,user_of_latest_model,hot_enc__Male,hot_enc__Other,hot_enc__Germany,hot_enc__India,hot_enc__UK,hot_enc__USA,hot_enc__UnknownLand,hot_enc__Berlin,hot_enc__Birmingham,hot_enc__Brisbane,hot_enc__Chicago,hot_enc__Delhi,hot_enc__Hamburg,hot_enc__London,hot_enc__Los Angeles,hot_enc__Manchester,hot_enc__Melbourne,hot_enc__Mumbai,hot_enc__Munich,hot_enc__New York,hot_enc__Sydney,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White
19.0,1.66,10.28,5.02,16.96,67.72,39.07,8601.38,3.0,0.0,2024-08-07,1.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23.0,2.77,0.45,2.83,6.05,55.96,42.66,3138.22,0.0,3.0,2024-09-13,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
58.0,1.02,4.64,2.6,8.25,36.14,55.25,4099.91,2.0,9.0,2024-11-25,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49.0,3.01,3.0,1.02,7.03,45.58,52.6,3294.34,3.0,0.0,2024-01-20,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
51.0,0.72,0.0,1.85,2.57,44.2,51.99,1176.7,4.0,0.0,2023-12-08,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
42.0,1.79,9.03,2.8,13.62,55.3,44.64,6578.46,2.0,0.0,2024-02-03,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
29.0,0.0,5.51,3.98,9.49,61.66,39.37,4941.68,1.0,7.0,2024-09-06,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
24.0,4.53,6.25,2.38,13.16,60.26,43.65,6736.87,2.0,0.0,2023-12-26,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
56.0,0.84,2.31,0.92,4.07,23.55,57.99,1847.74,3.0,2.0,2024-02-24,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
34.0,2.75,6.61,1.57,100.0,63.9,39.81,100.0,4.0,8.0,2024-12-07,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
62.0,2.62,16.11,7.63,26.36,38.59,52.02,13280.06,1.0,5.0,2023-12-22,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28.0,6.42,2.93,7.45,16.8,72.03,33.27,8551.0,3.0,8.0,2023-11-16,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
23.0,1.85,8.31,3.01,13.16,62.42,39.4,6393.45,2.0,1.0,2023-11-10,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
40.0,0.33,11.26,2.01,13.6,58.38,43.83,6595.15,1.0,6.0,2024-01-03,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44.0,3.82,3.61,1.41,8.84,55.31,46.25,4263.07,1.0,3.0,2024-11-19,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
63.0,2.38,11.72,1.96,16.06,27.65,58.84,7950.86,3.0,5.0,2024-03-16,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
23.0,1.07,8.76,1.9,11.73,65.87,44.0,6043.42,1.0,3.0,2024-08-10,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
55.0,5.59,0.51,3.36,9.46,36.63,51.02,4874.93,4.0,8.0,2024-10-28,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.0,2.18,0.0,0.8,2.98,49.49,47.95,1225.02,3.0,8.0,2024-07-28,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
37.0,2.91,2.95,1.8,7.67,58.78,45.29,3539.66,2.0,6.0,2024-03-06,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
42.0,0.44,5.53,6.42,12.39,51.04,40.84,6316.73,3.0,9.0,2024-05-22,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32.0,3.55,7.69,5.59,16.83,68.12,34.44,8285.03,4.0,1.0,2023-12-13,1.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
46.0,5.78,4.75,5.16,15.69,57.24,42.02,7744.77,0.0,6.0,2024-06-06,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54.0,0.86,1.88,3.42,6.16,36.68,50.42,2843.4,1.0,4.0,2024-03-14,1.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
50.0,4.33,0.53,6.01,10.87,51.84,45.48,5520.73,1.0,8.0,2024-10-03,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64.0,4.73,6.39,2.53,13.65,17.99,65.67,6905.58,4.0,4.0,2024-02-27,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
22.0,0.0,4.98,5.07,10.05,55.82,41.72,5225.23,1.0,4.0,2024-06-23,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
56.0,0.64,5.72,3.52,9.88,31.96,52.31,4742.43,3.0,5.0,2024-07-13,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35.0,1.36,0.11,1.38,2.85,56.15,43.64,1683.23,3.0,3.0,2024-06-19,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
55.0,1.7,5.55,5.29,12.55,35.38,49.49,6293.11,4.0,0.0,2024-05-22,1.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
54.0,1.22,8.71,0.17,10.11,43.1,56.62,5306.42,1.0,1.0,2023-11-21,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
47.0,1.92,3.62,1.68,7.21,52.47,48.79,3431.06,3.0,2.0,2024-08-12,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,4.05,6.74,4.89,15.68,63.52,36.84,7781.29,1.0,2.0,2024-05-19,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
32.0,3.23,5.25,2.26,10.74,60.79,40.25,5533.36,3.0,6.0,2024-10-21,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.0,1.13,3.03,1.63,5.8,52.34,46.49,2827.69,2.0,3.0,2023-10-24,1.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
50.0,0.24,4.87,1.55,6.66,42.06,52.5,3160.53,3.0,2.0,2023-11-26,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
33.0,0.69,10.63,11.87,23.19,64.58,30.9,11660.98,1.0,8.0,2024-02-05,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
55.0,1.73,7.86,0.74,10.32,35.64,54.76,5236.82,1.0,9.0,2024-09-20,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
52.0,4.26,1.15,2.0,7.41,42.08,52.15,3670.26,3.0,3.0,2024-12-12,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
51.0,2.28,4.14,4.22,10.63,43.44,47.86,5305.78,2.0,3.0,2024-12-24,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
45.0,3.67,5.21,2.63,11.51,47.4,41.98,6029.8,3.0,8.0,2024-07-31,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
19.0,1.23,3.51,2.26,7.0,64.27,44.34,3637.22,2.0,1.0,2024-08-06,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
47.0,1.55,4.51,2.11,8.17,49.27,44.12,3853.34,2.0,1.0,2023-10-21,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
58.0,1.55,6.42,1.99,9.97,27.22,59.29,5269.46,1.0,3.0,2024-09-19,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
45.0,9.97,10.8,2.45,23.22,54.8,40.91,11494.4,1.0,4.0,2024-08-01,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56.0,1.42,9.17,5.35,15.93,35.74,48.87,8110.58,0.0,8.0,2023-10-31,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
62.0,1.29,6.8,4.62,12.72,27.38,59.08,6487.36,2.0,3.0,2024-11-04,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
37.0,4.16,8.58,3.13,15.87,70.06,41.25,7811.18,1.0,8.0,2024-11-01,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
44.0,3.44,7.95,2.16,13.55,59.79,46.35,6849.88,4.0,8.0,2024-06-07,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
47.0,3.05,6.43,9.45,18.93,55.67,34.78,9454.54,1.0,2.0,2024-07-02,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62.0,2.4,6.53,7.67,16.59,26.98,57.03,8491.92,0.0,4.0,2024-09-08,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
44.0,0.06,4.83,1.66,6.55,54.56,44.13,3476.52,3.0,0.0,2024-05-24,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24.0,0.96,1.59,2.16,4.71,59.9,42.02,2535.85,0.0,6.0,2024-01-11,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
64.0,4.59,1.83,1.96,8.37,16.08,65.52,4113.99,2.0,3.0,2024-05-21,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
55.0,2.15,7.11,1.13,10.39,38.51,52.35,5391.91,1.0,7.0,2024-08-31,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22.0,0.26,7.25,3.43,10.93,57.69,43.17,5459.82,3.0,0.0,2024-11-30,1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40.0,2.12,5.04,0.85,8.01,56.59,43.02,3853.1,2.0,4.0,2024-06-18,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
45.0,0.44,5.82,4.91,11.17,55.91,40.82,5591.81,2.0,8.0,2023-11-26,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
32.0,0.45,5.68,7.17,13.31,68.87,32.89,6767.5,4.0,2.0,2024-04-06,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49.0,2.36,13.61,5.73,21.71,54.42,40.48,10754.95,2.0,6.0,2024-05-07,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.0,0.71,3.02,0.0,3.74,45.03,52.72,2141.69,1.0,5.0,2024-03-23,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
36.0,3.2,6.6,1.84,11.64,67.19,39.44,5984.78,2.0,1.0,2024-09-18,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
26.0,1.17,2.18,4.26,7.61,56.21,39.83,3977.84,2.0,8.0,2023-12-03,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
46.0,2.94,4.27,2.08,9.28,52.87,47.45,4716.53,4.0,1.0,2024-12-23,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
21.0,0.5,3.64,2.66,6.8,55.68,45.21,3556.94,1.0,2.0,2024-03-27,1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
20.0,2.29,1.97,3.26,7.53,54.82,43.94,3822.63,2.0,1.0,2024-05-08,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
