age_of_customer,sex,ctry,town,swimming_hours_per_week,biking_hours_per_week,running_hours_per_week,total_training_hours_per_week,vo2_max,10k_running_time_prediction,calories_burned_per_week,support_cases_of_customer,customer_years,most_current_software_update,goal_of_training,preferred_training_daytime,subscription_type,color_of_watch,synchronisation,user_of_latest_model
43.0,Male,UK,Birmingham,1.06,8.36,2.93,12.35,53.17,40.78,6411.07,4.0,6.0,136.0,Fitness,Evening,Basic,White,Yes,1.0
39.0,Female,India,Bangalore,2.34,7.11,0.0,9.45,57.4,44.74,4600.48,3.0,3.0,70.0,Fitness,Afternoon,Free,Black,Yes,0.0
64.0,Female,USA,New York,0.8,3.56,1.56,5.92,17.31,62.56275914525935,3098.77,3.0,2.0,398.0,Fitness,Afternoon,Premium,Black,Yes,0.0
60.0,Male,India,Bangalore,1.72,3.61,3.23,8.57,21.01,56.37,4450.53,0.0,5.0,58.0,Recreation,Evening,Free,Black,Yes,0.0
20.0,Male,USA,New York,1.85,6.76,0.6,9.21,62.88,46.79,4881.08,0.0,1.0,342.0,Recreation,Morning,Free,Black,Yes,1.0
52.0,Male,India,Bangalore,1.63,8.7,3.33,13.66,46.27,45.94,6828.6,2.0,7.0,128.0,Competition,Evening,Premium,Black,No,0.0
29.0,Other,USA,Chicago,5.78,3.98,4.71,14.46,65.33,39.11,7301.55,2.0,3.0,340.0,Competition,Afternoon,Free,White,Yes,1.0
41.0,Other,Germany,Hamburg,1.71,5.54,2.45,9.69,55.26,43.73,4746.31,4.0,5.0,313.0,Recreation,Morning,Free,Black,Yes,0.0
22.0,Other,Australia,Brisbane,3.41,11.39,5.02,19.82,65.31,36.18,10017.66,4.0,1.0,110.0,Competition,Morning,Basic,Black,Yes,1.0
37.0,Female,UK,Manchester,2.26,6.21,1.15,9.61,57.68,44.24,4782.92,1.0,8.0,407.0,Recreation,Evening,Free,Black,Yes,0.0
56.0,Other,India,Mumbai,1.46,11.48,6.34,19.28,45.95,50.02,9604.77,1.0,3.0,368.0,Fitness,Afternoon,Basic,Black,Yes,0.0
56.0,Female,Australia,Melbourne,1.82,4.52,7.25,13.6,37.94,51.15,7012.18,0.0,5.0,326.0,Fitness,Evening,Premium,Black,No,0.0
30.0,Female,UK,Birmingham,0.95,13.83,7.87,22.65,72.54,31.81,11056.99,2.0,7.0,360.0,Competition,Evening,Premium,Black,Yes,0.0
58.0,Other,UK,Manchester,1.67,5.85,1.97,9.5,29.33,57.92,4979.85,0.0,8.0,166.0,Recreation,Evening,Basic,White,Yes,0.0
62.0,Female,USA,New York,2.2,0.1,2.65,4.94,19.41,62.45,2683.43,0.0,3.0,410.0,Recreation,Morning,Premium,Black,Yes,0.0
29.0,Other,Germany,Berlin,1.75,9.75,5.07,16.56,62.18,36.79,8286.01,2.0,10.0,368.0,Competition,Morning,Free,Black,Yes,1.0
30.0,Other,Germayn,Hamburg,0.15,4.56,1.89,6.6,62.32,44.13,3294.5,1.0,5.0,447.0,Recreation,Afternoon,Free,Black,Yes,0.0
27.0,Male,Australia,Melbourne,3.83,3.38,4.33,11.54,58.06,35.56,5688.65,2.0,6.0,239.0,Fitness,Afternoon,Free,Black,Yes,0.0
50.0,Other,Germany,Munich,3.1,9.43,3.37,15.89,48.68,45.15,8242.82,3.0,0.0,218.0,Competition,Evening,Premium,Black,Yes,1.0
57.0,Male,India,Delhi,0.0,1.59,5.68,7.27,30.16,52.68,3400.1,3.0,7.0,96.0,Competition,Evening,Free,White,Yes,0.0
33.0,Other,Germany,Berlin,0.15,4.85,3.86,8.87,57.85,37.61,4488.7,3.0,8.0,144.0,Recreation,Evening,Premium,Black,Yes,0.0
62.0,Other,Australia,Sydney,1.63,9.36,5.41,16.4,29.84,59.23,8311.4,4.0,1.0,208.0,Competition,Afternoon,Free,Black,Yes,0.0
52.0,Male,Germany,Munich,0.0,0.96,4.46,5.42,37.85,50.02,2972.94,1.0,1.0,299.0,Recreation,Morning,Basic,Black,No,0.0
20.0,Male,India,Mumbai,1.22,1.94,2.88,6.04,58.86,42.78,3187.68,1.0,2.0,432.0,Fitness,Morning,Premium,Black,Yes,0.0
22.0,Other,USA,New York,1.15,0.59,0.02,1.77,48.84,47.79,969.23,4.0,0.0,330.0,Recreation,Evening,Premium,Black,Yes,1.0
43.0,Female,Australia,Melbourne,1.91,2.48,4.12,8.5,53.59,42.27,4018.76,0.0,6.0,301.0,Recreation,Evening,Free,Black,Yes,0.0
28.0,Male,USA,New York,1.54,5.3,0.96,7.8,55.68,42.91,3823.61,3.0,2.0,87.0,Recreation,Evening,Premium,Black,Yes,1.0
24.0,Female,USA,Los Angeles,3.1,7.69,3.8,14.59,63.96,36.02,7080.23,3.0,1.0,304.0,Competition,Evening,Premium,Black,Yes,1.0
27.0,Female,USA,Los Angeles,4.7,9.54,6.43,20.67,67.84,33.81,10563.49,0.0,6.0,89.0,Fitness,Afternoon,Basic,Black,Yes,1.0
59.0,Female,UK,Birmingham,0.73,6.24,4.62,11.6,29.81,52.71,5948.93,2.0,0.0,8.0,Fitness,Morning,Basic,Black,No,0.0
51.0,Male,UK,Manchester,0.72,5.71,3.27,9.71,48.19,49.75,5008.88,2.0,5.0,216.0,Competition,Evening,Free,Black,Yes,0.0
20.0,Female,USA,New York,1.66,14.64,2.98,19.28,61.08,40.04,9731.78,1.0,0.0,412.0,Competition,Afternoon,Free,Black,Yes,1.0
25.0,Male,Australia,Brisbane,3.85,8.97,0.0,12.82,63.66,41.74,6413.29,4.0,2.0,97.0,Fitness,Evening,Free,Black,Yes,0.0
48.0,Female,India,Delhi,1.07,5.63,3.09,9.8,45.34,46.24,4688.94,1.0,5.0,329.0,Fitness,Evening,Free,Black,Yes,0.0
28.0,Other,India,Bangalore,1.87,6.76,3.17,11.8,61.93,37.81,5797.38,2.0,7.0,313.0,Fitness,Morning,Free,Black,Yes,0.0
62.0,Other,Germany,Berlin,4.37,10.9,4.99,20.27,25.6,58.98,9917.26,0.0,2.0,45.0,Fitness,Evening,Premium,Black,Yes,1.0
24.0,Male,Australia,Melbourne,1.84,5.99,2.1,9.94,56.5,38.95,5103.33,1.0,0.0,43.0,Fitness,Morning,Basic,Black,Yes,1.0
63.0,Other,UK,London,0.0,5.0,2.8,7.8,20.49,63.31,3694.24,3.0,1.0,128.0,Recreation,Morning,Free,Black,No,0.0
62.0,Other,UK,London,0.0,5.0,2.8,7.8,20.49,63.31,3694.24,3.0,1.0,128.0,Recreation,Morning,Free,Black,No,0.0
19.0,Other,USA,Chicago,1.66,10.28,5.02,16.96,67.72,39.07,8601.38,3.0,0.0,147.0,Competition,Morning,Basic,Black,Yes,1.0
23.0,Female,Germany,Munich,2.77,0.45,2.83,6.05,55.96,42.66,3138.22,0.0,3.0,110.0,Recreation,Afternoon,Free,White,Yes,0.0
58.0,Male,India,Bangalore,1.02,4.64,2.6,8.25,36.14,55.25,4099.91,2.0,9.0,37.0,Fitness,Afternoon,Basic,Black,Yes,0.0
49.0,Female,UK,Birmingham,3.01,3.0,1.02,7.03,45.58,52.6,3294.34,3.0,0.0,347.0,Fitness,Morning,Basic,Black,No,0.0
37.0,Female,UK,Manchester,1.58,3.25,0.64,5.46,53.73,42.94,5487.534848800834,3.0,6.0,231.0,Fitness,Evening,Free,Black,Yes,0.0
51.0,Female,USA,Chicago,0.72,0.0,1.85,2.57,44.2,51.99,1176.7,4.0,0.0,390.0,Recreation,Morning,Premium,Black,Yes,1.0
33.0,Female,India,Mumbai,1.41,0.6,1.21,3.22,51.172953593429156,46.28,1732.54,1.0,8.0,170.0,Recreation,Evening,Basic,Black,Yes,0.0
42.0,Female,Australia,Brisbane,1.79,9.03,2.8,13.62,55.3,44.64,6578.46,2.0,0.0,333.0,Fitness,Morning,Premium,Black,Yes,1.0
29.0,Female,UK,London,0.0,5.51,3.98,9.49,61.66,39.37,4941.68,1.0,7.0,117.0,Recreation,Evening,Premium,White,Yes,0.0
24.0,Female,USA,New York,4.53,6.25,2.38,13.16,60.26,43.65,6736.87,2.0,0.0,372.0,Recreation,Afternoon,Free,Black,Yes,0.0
56.0,Male,Australia,Brisbane,0.84,2.31,0.92,4.07,23.55,57.99,1847.74,3.0,2.0,312.0,Fitness,Evening,Free,Black,Yes,0.0
34.0,Other,India,Mumbai,2.75,6.61,1.57,6.088668211142911,63.9,39.81,100.0,4.0,8.0,25.0,Recreation,Morning,Free,Black,Yes,1.0
62.0,Female,UK,Manchester,2.62,2.8428714837378997,7.63,13.029564929569656,38.59,52.02,6315.73066606492,1.0,5.0,376.0,Competition,Afternoon,Basic,Black,Yes,0.0
28.0,Female,Australia,Sydney,6.42,2.93,7.45,16.8,72.03,33.27,8551.0,3.0,8.0,412.0,Competition,Evening,Free,Black,Yes,1.0
23.0,Female,Australia,Sydney,1.85,8.31,3.01,13.16,62.42,39.4,6393.45,2.0,1.0,418.0,Competition,Evening,Free,White,Yes,1.0
40.0,Female,Australia,Sydney,0.33,11.26,2.01,13.6,58.38,43.83,6595.15,1.0,6.0,364.0,Competition,Evening,Basic,Black,Yes,0.0
44.0,Female,UK,Manchester,3.82,3.61,1.41,8.84,55.31,46.25,4263.07,1.0,3.0,43.0,Fitness,Evening,Basic,White,No,0.0
63.0,Female,UK,Manchester,2.38,11.72,1.96,16.06,27.65,58.84,7950.86,3.0,5.0,291.0,Fitness,Evening,Free,White,Yes,0.0
23.0,Other,Germany,Munich,1.07,8.76,1.9,11.73,65.87,44.0,6043.42,1.0,3.0,144.0,Fitness,Afternoon,Free,Black,No,1.0
55.0,Other,India,Bangalore,5.59,0.51,3.36,9.46,36.63,51.02,4874.93,4.0,8.0,65.0,Competition,Afternoon,Free,Black,Yes,0.0
39.0,Other,Australia,Sydney,2.18,0.0,0.8,2.98,49.49,47.95,1225.02,3.0,8.0,157.0,Recreation,Afternoon,Premium,Black,No,0.0
37.0,Male,Germany,Munich,2.91,2.95,1.8,7.67,58.78,45.29,3539.66,2.0,6.0,301.0,Recreation,Morning,Premium,Black,Yes,0.0
42.0,Female,USA,Los Angeles,0.44,5.53,6.42,12.39,51.04,40.84,6316.73,3.0,9.0,224.0,Competition,Afternoon,Free,Black,Yes,1.0
32.0,Male,Germany,Berlin,3.55,7.69,5.59,16.83,68.12,34.44,8285.03,4.0,1.0,385.0,Competition,Evening,Premium,White,Yes,1.0
46.0,Male,UK,Birmingham,5.78,4.75,5.16,15.69,57.24,42.02,7744.77,0.0,6.0,209.0,Competition,Evening,Basic,Black,Yes,0.0
25.0,Female,Australia,Melbourne,0.0,12.04,1.81,13.85,64.42,39.26,5487.534848800834,0.0,1.0,96.0,Competition,Afternoon,Premium,Black,Yes,1.0
54.0,Other,USA,Chicago,0.86,1.88,3.42,6.16,36.68,50.42,2843.4,1.0,4.0,293.0,Recreation,Evening,Premium,Black,Yes,0.0
50.0,Male,USA,Chicago,4.33,0.53,6.01,10.87,51.84,45.48,5520.73,1.0,8.0,90.0,Competition,Afternoon,Free,Black,Yes,0.0
39.0,Female,USA,Chicago,0.73,3.65,3.0,7.38,58.62,39.39,3584.13,0.0,2.0,242.0,Fitness,Evening,Premium,Black,Yes,1.0
64.0,Male,USA,New York,4.73,6.39,2.53,13.65,17.99,61.69606115344371,6905.58,4.0,4.0,309.0,Competition,Morning,Premium,Black,Yes,0.0
22.0,Male,USA,Chicago,0.0,4.98,5.07,10.05,55.82,41.72,5225.23,1.0,4.0,192.0,Competition,Morning,Premium,Black,Yes,1.0
56.0,Male,Germany,Hamburg,0.64,5.72,3.52,9.88,31.96,52.31,4742.43,3.0,5.0,172.0,Competition,Afternoon,Premium,White,Yes,0.0
35.0,Male,Australia,Sydney,1.36,0.11,1.38,2.85,56.15,43.64,1683.23,3.0,3.0,196.0,Recreation,Afternoon,Basic,White,Yes,0.0
55.0,Other,UK,Birmingham,1.7,5.55,5.29,12.55,35.38,49.49,6293.11,4.0,0.0,224.0,Recreation,Afternoon,Free,White,Yes,0.0
54.0,Male,UK,Birmingham,1.22,8.71,0.17,10.11,43.1,56.62,5306.42,1.0,1.0,407.0,Fitness,Evening,Free,Black,Yes,1.0
47.0,Male,UK,London,1.92,3.62,1.68,7.21,52.47,48.79,3431.06,3.0,2.0,142.0,Competition,Afternoon,Basic,White,No,0.0
27.0,Other,Germany,Munich,4.05,6.74,4.89,15.68,63.52,36.84,7781.29,1.0,2.0,227.0,Fitness,Evening,Basic,Black,Yes,1.0
32.0,Male,India,Delhi,3.23,5.25,2.26,10.74,60.79,40.25,5533.36,3.0,6.0,72.0,Recreation,Afternoon,Premium,Black,Yes,1.0
59.0,Male,Australia,Melbourne,0.79,2.66,4.22,7.68,30.75,58.82,3902.3,0.0,3.0,283.0,Recreation,Morning,Basic,Black,Yes,0.0
61.0,Other,USA,Chicago,3.17,12.32,3.25,18.74,37.18,55.28,9365.21,3.0,1.0,139.0,Fitness,Evening,Free,Black,Yes,1.0
35.0,Other,India,Bangalore,5.31,7.69,2.3,15.3,57.09,37.68,7897.13,4.0,7.0,320.0,Competition,Afternoon,Free,Black,Yes,1.0
40.0,Other,UK,Birmingham,1.13,3.03,1.63,5.8,52.34,46.49,2827.69,2.0,3.0,435.0,Recreation,Evening,Free,Black,Yes,0.0
50.0,Male,India,Mumbai,0.24,4.87,1.55,6.66,42.06,52.5,3160.53,3.0,2.0,402.0,Competition,Morning,Premium,White,No,0.0
33.0,Other,Australia,Brisbane,0.69,10.63,11.00665676881983,23.19,64.58,30.9,11660.98,1.0,8.0,331.0,Competition,Morning,Premium,Black,Yes,1.0
55.0,Other,USA,Los Angeles,1.73,7.86,0.74,10.32,35.64,54.76,5236.82,1.0,9.0,103.0,Fitness,Evening,Basic,Black,Yes,1.0
52.0,Male,USA,New York,4.26,1.15,2.0,7.41,42.08,52.15,3670.26,3.0,3.0,20.0,Fitness,Afternoon,Basic,Black,Yes,0.0
51.0,Other,Australia,Sydney,2.28,4.14,4.22,10.63,43.44,47.86,5305.78,2.0,3.0,8.0,Fitness,Evening,Free,Black,Yes,0.0
45.0,Male,Australia,Sydney,3.67,5.21,2.63,11.51,47.4,41.98,6029.8,3.0,8.0,154.0,Fitness,Morning,Premium,White,Yes,1.0
19.0,Female,UK,Manchester,1.23,3.51,2.26,7.0,64.27,44.34,3637.22,2.0,1.0,148.0,Recreation,Evening,Basic,Black,Yes,1.0
47.0,Other,USA,Los Angeles,1.55,4.51,2.11,8.17,49.27,44.12,3853.34,2.0,1.0,438.0,Recreation,Evening,Premium,Black,No,0.0
30.0,Female,India,Delhi,1.15,5.529109014675052,1.72,11.6,61.93,39.91,5629.11,4.0,4.0,57.0,Fitness,Morning,Premium,Black,Yes,0.0
58.0,Male,Germany,Berlin,1.55,6.42,1.99,9.97,27.22,59.29,5269.46,1.0,3.0,104.0,Recreation,Evening,Free,White,Yes,0.0
33.0,Other,Germayn,Berlin,2.63,5.529109014675052,4.78,18.87,67.53,35.45,9570.89,1.0,8.0,28.0,Fitness,Evening,Free,Black,Yes,1.0
45.0,Female,UK,Birmingham,8.439742433375503,10.8,2.45,23.22,54.8,40.91,11494.4,1.0,4.0,153.0,Competition,Afternoon,Premium,Black,Yes,1.0
56.0,Male,Germany,Munich,1.42,9.17,5.35,15.93,35.74,48.87,8110.58,0.0,8.0,428.0,Competition,Morning,Premium,Black,Yes,1.0
62.0,Other,USA,New York,1.29,6.8,4.62,12.72,27.38,59.08,6487.36,2.0,3.0,58.0,Fitness,Morning,Premium,Black,Yes,1.0
37.0,Other,Australia,Brisbane,4.16,8.58,3.13,15.87,70.06,41.25,7811.18,1.0,8.0,61.0,Competition,Morning,Free,White,Yes,1.0
44.0,Male,Australia,Melbourne,3.44,7.95,2.16,13.55,59.79,46.35,6849.88,4.0,8.0,208.0,Competition,Morning,Free,Black,Yes,0.0
47.0,Other,India,Bangalore,3.05,6.43,9.02544553395801,18.93,55.67,34.78,9454.54,1.0,2.0,183.0,Competition,Morning,Basic,Black,Yes,0.0
62.0,Female,Australia,Melbourne,2.4,6.53,7.67,16.59,26.98,57.03,8491.92,0.0,4.0,115.0,Competition,Morning,Premium,Black,Yes,0.0
44.0,Other,Australia,Sydney,0.06,4.83,1.66,6.55,54.56,44.13,3476.52,3.0,0.0,222.0,Recreation,Afternoon,Basic,Black,Yes,0.0
43.0,Other,Australia,Berlin,0.34,7.23,0.72,8.29,58.96,48.3,4354.16,3.0,0.0,306.0,Fitness,Evening,Free,White,No,0.0
24.0,Male,India,Mumbai,0.96,1.59,2.16,4.71,59.9,42.02,2535.85,0.0,6.0,356.0,Recreation,Morning,Free,Black,Yes,0.0
64.0,Male,Australia,Brisbane,4.59,1.83,1.96,8.37,16.08,62.61532743685632,4113.99,2.0,3.0,225.0,Fitness,Morning,Free,White,Yes,0.0
55.0,Other,Germany,Hamburg,2.15,7.11,1.13,10.39,38.51,52.35,5391.91,1.0,7.0,123.0,Competition,Evening,Premium,Black,Yes,0.0
22.0,Female,UK,Birmingham,0.26,7.25,3.43,10.93,57.69,43.17,5459.82,3.0,0.0,32.0,Fitness,Afternoon,Free,Black,Yes,0.0
40.0,Other,UK,Manchester,2.12,5.04,0.85,8.01,56.59,43.02,3853.1,2.0,4.0,197.0,Recreation,Afternoon,Free,Black,Yes,0.0
45.0,Male,UK,Birmingham,0.44,5.82,4.91,11.17,55.91,40.82,5591.81,2.0,8.0,402.0,Recreation,Morning,Premium,Black,Yes,0.0
51.0,Male,India,Bangalore,2.84,5.64,4.98,13.45,50.28,48.03,6511.49,3.0,2.0,208.0,Fitness,Morning,Basic,Black,No,0.0
32.0,Female,India,Delhi,0.45,5.68,7.17,13.31,68.87,32.89,6767.5,4.0,2.0,270.0,Competition,Afternoon,Free,Black,No,0.0
49.0,Other,Germany,Hamburg,2.36,13.61,5.73,21.71,54.42,40.48,10754.95,2.0,6.0,239.0,Competition,Morning,Basic,Black,Yes,0.0
43.0,Other,UK,Berlin,2.99,0.63,2.27,5.89,45.98,44.95,2800.69,0.0,8.0,278.0,Recreation,Morning,Free,Black,Yes,1.0
48.0,Female,UK,Manchester,0.71,3.02,0.0,3.74,45.03,52.72,2141.69,1.0,5.0,284.0,Competition,Afternoon,Free,White,Yes,0.0
36.0,Other,Australia,Sydney,3.2,6.6,1.84,11.64,67.19,39.44,5984.78,2.0,1.0,105.0,Fitness,Afternoon,Free,White,Yes,1.0
26.0,Other,India,Mumbai,1.17,2.18,4.26,7.61,56.21,39.83,3977.84,2.0,8.0,395.0,Fitness,Morning,Free,White,Yes,0.0
46.0,Male,UK,Birmingham,2.94,4.27,2.08,9.28,52.87,47.45,4716.53,4.0,1.0,9.0,Recreation,Evening,Basic,White,Yes,0.0
56.0,Other,Germany,Munich,5.5,8.37,4.18,18.05,43.85,52.89,9230.29,0.0,0.0,366.0,Fitness,Evening,Basic,Black,Yes,0.0
21.0,Other,Germany,Berlin,0.5,3.64,2.66,6.8,55.68,45.21,3556.94,1.0,2.0,280.0,Recreation,Evening,Free,White,Yes,0.0
20.0,Female,UK,London,2.29,1.97,3.26,7.53,54.82,43.94,3822.63,2.0,1.0,238.0,Fitness,Morning,Free,Black,No,1.0
46.0,Female,India,Mumbai,0.0,6.07,4.12,10.19,47.58,44.88,5372.04,1.0,8.0,93.0,Recreation,Afternoon,Basic,Black,Yes,1.0
28.0,Male,UnknownLand,Berlin,4.49,12.67,2.16,19.32,58.64,38.66,9473.5,3.0,1.0,195.0,Competition,Morning,Premium,Black,Yes,1.0
50.0,Other,Australia,Brisbane,1.59,3.06,1.59,6.24,38.63,47.83,3387.84,2.0,7.0,301.0,Fitness,Afternoon,Premium,Black,Yes,0.0
28.0,Other,USA,Chicago,2.0,6.12,1.6,9.72,64.04,44.49,4879.07,3.0,8.0,243.0,Recreation,Evening,Free,White,Yes,0.0
50.0,Male,India,Bangalore,0.0,1.68,0.56,2.24,37.86,49.09,1145.36,2.0,1.0,59.0,Fitness,Afternoon,Premium,White,No,0.0
38.0,Female,UK,London,0.49,1.77,2.47,4.74,50.77,42.84,2435.29,1.0,1.0,167.0,Recreation,Morning,Premium,Black,No,0.0
56.0,Male,India,Delhi,0.79,10.52,0.88,12.19,39.36,55.89,6394.38,0.0,9.0,430.0,Fitness,Evening,Basic,Black,Yes,0.0
48.0,Other,India,Delhi,4.04,9.7,6.23,19.98,53.14844558556395,42.39,10273.42,1.0,2.0,216.0,Competition,Morning,Premium,Black,Yes,1.0
55.0,Other,India,Bangalore,2.66,6.9,1.65,11.22,42.04,54.92,5891.59,4.0,6.0,403.0,Recreation,Morning,Basic,Black,Yes,0.0
63.0,Male,India,Delhi,1.03,4.52,1.15,6.7,19.82,64.64,3259.9,0.0,1.0,287.0,Fitness,Morning,Premium,White,Yes,0.0
19.0,Other,Australia,Brisbane,4.71,15.53351688395372,2.32,23.15,60.12,38.81,11555.24423450049,1.0,0.0,319.0,Competition,Evening,Premium,White,No,1.0
44.0,Other,Australia,Melbourne,5.03,5.529109014675052,0.0,7.83,50.17,50.01,3887.28,1.0,6.0,283.0,Competition,Morning,Premium,White,Yes,0.0
53.0,Male,Germany,Hamburg,3.71,8.68,6.11,18.51,54.26,46.95,9464.88,3.0,3.0,389.0,Fitness,Morning,Free,Black,Yes,0.0
28.0,Male,USA,New York,0.25,1.04,1.06,2.34,58.67,41.97,1001.89,4.0,6.0,53.0,Fitness,Morning,Free,White,Yes,0.0
64.0,Other,India,Bangalore,3.21,11.03,0.0,14.24,25.14602440524625,64.21,7125.14,3.0,2.0,242.0,Fitness,Morning,Free,Black,Yes,0.0
35.0,Other,Germany,Hamburg,2.36,2.46,3.23,8.05,57.76,43.19,4305.51,0.0,0.0,6.0,Competition,Morning,Premium,White,Yes,0.0
18.0,Other,USA,New York,1.14,3.44,1.81,6.39,53.68,47.11,3465.58,3.0,0.0,185.0,Fitness,Morning,Basic,Black,Yes,0.0
52.0,Female,UK,Birmingham,1.67,4.35,0.67,6.69,37.14,52.1,3454.28,4.0,3.0,26.0,Recreation,Evening,Basic,Black,Yes,0.0
52.0,Female,Australia,Brisbane,2.24,11.35,0.0,13.59,36.53,49.19,6975.39,2.0,0.0,448.0,Competition,Morning,Basic,Black,Yes,0.0
48.0,Female,USA,Los Angeles,4.7,1.22,5.17,11.08,49.51,41.39,5348.34,2.0,0.0,112.0,Fitness,Afternoon,Basic,Black,Yes,1.0
45.0,Male,UK,Birmingham,0.12,4.71,2.98,7.81,47.47,43.66,4039.04,0.0,9.0,3.0,Recreation,Morning,Free,Black,Yes,0.0
56.0,Female,USA,Los Angeles,3.92,5.35,4.36,13.63,35.09,52.21,6886.59,2.0,0.0,171.0,Competition,Morning,Free,Black,Yes,0.0
18.0,Male,Australia,Sydney,0.07,2.64,2.4,5.12,50.07,44.96,2313.2,3.0,0.0,212.0,Recreation,Evening,Premium,Black,Yes,1.0
42.0,Male,Australia,Melbourne,5.59,11.44,1.45,18.48,60.79,43.53,9009.53,0.0,6.0,237.0,Competition,Evening,Premium,Black,Yes,1.0
60.0,Female,Germany,Munich,0.86,4.62,1.31,6.79,24.61,61.64,3161.74,4.0,6.0,421.0,Fitness,Afternoon,Basic,Black,Yes,0.0
55.0,Female,India,Mumbai,0.57,8.92,3.09,12.58,35.83,49.01,6425.93,0.0,3.0,352.0,Recreation,Afternoon,Free,Black,Yes,0.0
37.0,Female,USA,Los Angeles,1.65,1.15,6.65,9.44,57.29,35.07,4507.42,0.0,1.0,183.0,Competition,Evening,Basic,Black,Yes,1.0
20.0,Other,USA,New York,1.56,5.91,0.7,8.18,48.77,43.82,4068.24,1.0,0.0,263.0,Recreation,Evening,Premium,Black,No,1.0
19.0,Female,UK,Birmingham,0.2,4.15,5.19,9.53,56.66,38.26,4680.18,1.0,0.0,130.0,Recreation,Morning,Premium,Black,No,1.0
35.0,Other,Australia,Brisbane,2.81,2.83,0.32,5.95,45.84,41.44,3007.23,0.0,7.0,61.0,Fitness,Evening,Basic,White,Yes,1.0
61.0,Male,USA,Los Angeles,1.29,1.87,2.81,5.96,20.7,61.07,3105.78,2.0,3.0,193.0,Recreation,Afternoon,Premium,White,No,1.0
27.0,Other,Australia,Brisbane,2.97,12.19,0.15,15.31,67.33,43.86,7763.94,1.0,4.0,128.0,Competition,Morning,Basic,Black,Yes,1.0
